epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.29661,1.20554,5.04509,1.27729,0.02592,0.35714,0.04054,0.02548,0.90359,5.45923,1.40755,7.69e-06,7.69e-06,7.69e-06
2,2.44886,1.08684,5.13242,1.28199,0.01153,0.38095,0.04209,0.02838,0.91506,5.48392,1.41667,2.28416e-05,2.28416e-05,2.28416e-05
3,3.31164,1.1153,4.88504,1.26941,0.00601,0.38095,0.04647,0.03032,0.92519,5.48191,1.41561,3.76887e-05,3.76887e-05,3.76887e-05
4,4.18319,1.11633,4.93263,1.31581,0.0138,0.42857,0.109,0.08642,0.85318,5.31195,1.34441,5.22312e-05,5.22312e-05,5.22312e-05
5,5.4496,0.91672,4.22065,1.15662,0.6805,0.31914,0.29182,0.24713,0.87949,5.72491,1.3088,6.64693e-05,6.64693e-05,6.64693e-05
6,6.69246,0.79151,3.58558,1.07008,0.57497,0.44048,0.34855,0.3082,0.92397,6.12196,1.40197,8.04028e-05,8.04028e-05,8.04028e-05
7,7.94838,0.84166,3.38004,1.11077,0.60507,0.54944,0.39534,0.31445,0.90297,7.09958,1.43281,9.40318e-05,9.40318e-05,9.40318e-05
8,11.8808,0.81297,2.7277,1.05379,0.40706,0.4997,0.26456,0.18844,0.86132,10.0232,1.34785,0.000107356,0.000107356,0.000107356
9,13.2505,0.78148,2.69844,1.07647,0.45871,0.46689,0.22161,0.13755,0.79452,11.2117,1.29106,0.000120376,0.000120376,0.000120376
10,14.6006,0.6502,2.30329,0.99278,0.46587,0.25,0.2068,0.13573,0.79241,11.5886,1.28375,0.000133092,0.000133092,0.000133092
11,15.7357,0.73448,2.23059,0.99639,0.47144,0.24087,0.23931,0.18992,0.82646,12.115,1.27659,0.000145502,0.000145502,0.000145502
12,16.8606,0.59178,2.20293,0.91671,0.42762,0.53058,0.33018,0.26854,0.80893,11.0814,1.27604,0.000157609,0.000157609,0.000157609
13,17.9653,0.63656,2.10753,0.95444,0.4832,0.59524,0.47431,0.33944,0.84153,9.47657,1.29817,0.000169411,0.000169411,0.000169411
14,21.6363,0.49926,1.76841,0.98512,0.51524,0.56668,0.65264,0.5051,0.8144,8.04322,1.28372,0.000180908,0.000180908,0.000180908
15,23.0793,0.53737,1.85923,0.91914,0.67639,0.35905,0.58881,0.4649,0.8353,6.46722,1.28076,0.000192101,0.000192101,0.000192101
16,24.6746,0.55565,1.51182,0.90787,0.31868,0.61905,0.66372,0.51114,0.81392,5.4577,1.26667,0.000202989,0.000202989,0.000202989
17,26.3382,0.57226,1.49502,0.89979,0.37289,0.72007,0.65081,0.53374,0.78697,4.82301,1.2766,0.000213573,0.000213573,0.000213573
18,27.5653,0.57246,1.55375,0.93921,0.63347,0.49268,0.61112,0.4857,0.77685,4.30372,1.29122,0.000223852,0.000223852,0.000223852
19,28.6727,0.6645,1.41581,0.98673,0.79939,0.5119,0.58331,0.47152,0.78254,3.93406,1.27682,0.000233827,0.000233827,0.000233827
20,30.0156,0.70928,1.58118,1.04543,0.82909,0.5119,0.58236,0.48714,0.65544,3.36276,1.14023,0.000243497,0.000243497,0.000243497
21,31.2394,0.56753,1.43836,0.98222,0.85801,0.50681,0.51432,0.43635,0.66549,3.24538,1.15011,0.000252863,0.000252863,0.000252863
