epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4352,1.20554,5.04509,1.27729,0.02592,0.35714,0.04054,0.02548,0.90359,5.45923,1.40755,7.69e-06,7.69e-06,7.69e-06
2,25.7516,1.08684,5.13242,1.28199,0.01153,0.38095,0.04209,0.02838,0.91506,5.48392,1.41667,2.15474e-05,2.15474e-05,2.15474e-05
3,27.0949,1.1153,4.88504,1.26941,0.00601,0.38095,0.04647,0.03032,0.92519,5.48191,1.41561,3.33746e-05,3.33746e-05,3.33746e-05
4,28.3405,1.11633,4.93263,1.31581,0.01356,0.42857,0.10528,0.0828,0.85931,5.37886,1.35686,4.31717e-05,4.31717e-05,4.31717e-05
5,29.5595,0.93199,4.32895,1.16557,0.65748,0.33333,0.20854,0.17539,0.80556,5.35287,1.25552,5.09386e-05,5.09386e-05,5.09386e-05
6,31.7552,0.80751,4.4654,1.13573,0.66148,0.33333,0.23658,0.1896,0.87727,5.63527,1.36553,5.66753e-05,5.66753e-05,5.66753e-05
7,33.4687,0.65732,3.87135,1.0122,0.48157,0.41667,0.29781,0.23281,0.92783,6.29075,1.46116,6.03819e-05,6.03819e-05,6.03819e-05
8,34.6145,0.62744,3.43154,1.04741,0.21232,0.72459,0.34578,0.26358,0.99537,7.0834,1.53034,6.20583e-05,6.20583e-05,6.20583e-05
9,38.3664,0.58567,3.1359,1.04808,0.39657,0.43021,0.33725,0.25009,0.97597,7.57306,1.50353,6.17046e-05,6.17046e-05,6.17046e-05
10,39.8984,0.51403,2.73789,0.9374,0.40903,0.50565,0.33569,0.25668,0.97581,7.60585,1.51176,5.93207e-05,5.93207e-05,5.93207e-05
11,41.1293,0.56592,2.77474,1.01224,0.41447,0.53627,0.36771,0.2776,0.96513,7.20913,1.51514,5.49066e-05,5.49066e-05,5.49066e-05
12,42.3605,0.57632,2.87988,1.06278,0.49202,0.54673,0.39276,0.28485,0.9431,6.98188,1.47087,4.84624e-05,4.84624e-05,4.84624e-05
13,43.5091,0.44912,2.43831,0.86895,0.50265,0.52581,0.413,0.29656,0.92042,6.78542,1.42261,3.9988e-05,3.9988e-05,3.9988e-05
14,44.59,0.36501,2.46401,0.87568,0.49994,0.49747,0.39025,0.28682,0.90986,6.59758,1.39201,2.94835e-05,2.94835e-05,2.94835e-05
15,45.5946,0.43766,2.76844,0.92638,0.51263,0.35714,0.38247,0.28592,0.91214,6.2621,1.38647,1.69488e-05,1.69488e-05,1.69488e-05
